,name,price,publishers,genres,estimated_owners,median_playtime_forever,peak_ccu,release_year,compatible_systems,positive_rate
15584,Time in Time,1.99,['ErayTek'],['Casual',100000 - 200000,458,98,2017,1,0.7380952380952381
15587,Red Dead Online,9.99,['Rockstar Games'],['Action',1000000 - 2000000,848,2322,2020,1,0.8437466463480071
15596,Lumberjack's Dynasty,9.99,['Toplitz Productions'],['Simulation'],50000 - 100000,4189,60,2021,1,0.7265246853823815
15597,EARTHLOCK,29.99,['Snowcastle Games'],['Adventure',50000 - 100000,527,6,2018,3,0.7334710743801653
15598,Hero of the Kingdom: The Lost Tales 1,4.99,['Lonely Troops'],['Adventure',50000 - 100000,95,7,2020,3,0.9253731343283582
15610,Rocket Valley Tycoon,0.0,['Rocket Cola Studio'],['Casual',50000 - 100000,16,2,2018,1,0.6184971098265896
15611,Starpoint Gemini 3,8.99,['Little Green Men Games'],['Action',20000 - 50000,1182,5,2020,1,0.5180897250361794
15612,Shovel Knight: Treasure Trove,39.99,['Yacht Club Games'],['Action',500000 - 1000000,337,99,2014,3,0.963122267663235
15632,KOEWOTAYORINI SP / 声之寄托SP,1.99,"['Pujia8 Studio', 'Gamera Game']",['Adventure',0 - 20000,215,1,2018,1,0.9330357142857143
15635,Cobalt,14.99,['Mojang'],['Action',20000 - 50000,1713,4,2016,1,0.9211746522411128
15648,Kingdom Defense,0.49,['SA Industry'],['Casual',0 - 20000,2,1,2017,3,0.42696629213483145
15653,Q*bert: Rebooted,0.0,"['Sideline Amusements', 'Gonzo Games']",['Action',20000 - 50000,126,0,2014,3,0.6272189349112426
15663,Eagle Island Twist,12.99,['Screenwave Media'],['Action',0 - 20000,25,1,2019,3,0.8029556650246306
15665,El Matador,3.99,['Fulqrum Publishing'],['Action'],50000 - 100000,141,1,2014,1,0.6930946291560103
15667,Onee Chanbara ORIGIN,59.99,['D3PUBLISHER'],['Action'],50000 - 100000,145,6,2020,1,0.71875
15668,Shovel Knight: Specter of Torment,9.99,['Yacht Club Games'],['Action',0 - 20000,395,3,2017,3,0.9388297872340425
15670,Smooth Operators,2.99,['Heydeck Games'],['Casual',20000 - 50000,237,0,2014,1,0.7286245353159851
15671,RUINER,19.99,['Devolver Digital'],['Action',500000 - 1000000,190,23,2017,2,0.9011350059737157
15677,Airport Madness: Time Machine,6.99,['Big Fat Simulations Inc.'],['Adventure'],20000 - 50000,196,4,2015,2,0.7735849056603774
15678,ShareX,0.0,['ShareX Team'],['Free to Play',500000 - 1000000,128,1481,2015,1,0.958139534883721
15690,Project 5: Sightseer,0.0,['Tasharen Entertainment Inc.'],['Action',20000 - 50000,134,19,2019,3,0.6966292134831461
15691,hack_me,3.99,['Indovers Studio'],['Indie',200000 - 500000,249,5,2017,1,0.6061320754716981
15693,"Axe, Bow & Staff",4.99,['Clewcat Games'],['Action',0 - 20000,48,0,2016,3,0.8333333333333334
15697,Warhammer: Chaosbane,29.99,['Nacon'],['Action',500000 - 1000000,1354,64,2019,1,0.5500100623867982
15698,Symploke: Legend of Gustavo Bueno (Chapter 2),1.99,['Videojuegos Fermín'],['Adventure',20000 - 50000,301,0,2017,1,0.9333333333333333
15700,Twists of My Life,2.99,['Novel'],['Indie'],0 - 20000,15,6,2019,2,
15707,Days of War: Definitive Edition,24.99,['Driven Arts'],['Action',50000 - 100000,1027,1,2020,1,0.5220093215950284
15708,BURIED STARS,39.99,['LINE Games Corporation'],['Adventure',20000 - 50000,2083,42,2021,1,0.8831018518518519
15709,NEO AQUARIUM - The King of Crustaceans -,8.99,['PLAYISM'],['Action',50000 - 100000,133,0,2015,1,0.8
15717,Sonic & SEGA All-Stars Racing,9.99,['SEGA'],['Racing'],200000 - 500000,106,26,2010,1,0.8453887884267631
15721,Savage Lands,9.99,['Last Bastion Studios LLC'],['Action',200000 - 500000,94,4,2021,1,0.5554537121906508
15725,Frederic: Resurrection of Music,2.99,['Forever Entertainment S. A.'],['Action',100000 - 200000,242,4,2014,3,0.8393617021276596
15726,Witch's Pranks: Frog's Fortune Collector's Edition,6.99,['Shaman Games Studio'],['Adventure',20000 - 50000,65,0,2015,2,0.8387096774193549
15732,Hidden Object 6-in-1 bundle,11.99,['Alawar Entertainment'],['Adventure',20000 - 50000,660,8,2016,1,0.7945205479452054
15734,Zone4,0.0,"['Infovine co.,Ltd.']",['Action',100000 - 200000,34,0,2016,1,0.5894039735099338
15746,Thrive,4.99,['Revolutionary Games Studio'],['Casual',20000 - 50000,122,59,2021,2,0.8997134670487106
15747,Planet Nomads,19.99,['Craneballs'],['Action',50000 - 100000,317,19,2019,3,0.6673553719008265
15748,PUSH,0.99,"['Hamster On Coke Games', 'Maciej Targoni']",['Casual',50000 - 100000,97,1,2017,3,0.8723776223776224
15751,Rodina,14.99,['Elliptic Games'],['Action',20000 - 50000,102,4,2014,1,0.9363354037267081
15752,Red Orchestra: Ostfront 41-45,4.99,['Tripwire Interactive'],['Action'],500000 - 1000000,136,16,2006,3,0.86875
15754,A Fisherman's Tale,14.99,['Vertigo Games'],['Adventure',50000 - 100000,57,7,2019,1,0.9356178608515057
15763,FINAL FANTASY IV,17.99,['Square Enix'],['RPG'],100000 - 200000,885,70,2021,1,0.883271375464684
15766,Anime Artist 2: Lovely Danya,1.99,['Neoclassic Games'],['Casual',0 - 20000,62,0,2020,1,0.8846153846153846
15767,Borderlands: The Pre-Sequel,39.99,"['2K', 'Aspyr (Linux)']",['Action',2000000 - 5000000,489,608,2014,3,0.8103038808225833
15769,Whiplash - Crash Valley,4.99,['Diagrammet AB'],['Adventure',20000 - 50000,196,4,2016,1,0.46255506607929514
15777,Ground Control II: Operation Exodus,4.99,['Rebellion'],['Strategy'],50000 - 100000,53,2,2015,1,0.8730964467005076
15779,Nimbatus - Drone Creator,0.0,"['Stray Fawn Studio', 'WhisperGames']",['Action',20000 - 50000,54,2,2020,3,0.8840579710144928
15783,Virtual Pool 4 Multiplayer,0.0,['Celeris'],['Sports'],20000 - 50000,59,10,2016,1,0.6454545454545455
15785,Left in the Dark: No One on Board,9.99,['Artifex Mundi'],['Adventure',100000 - 200000,231,2,2014,3,0.8315629742033384
15789,Garden Rescue: Christmas Edition,3.99,['Rainbow Games'],['Casual',20000 - 50000,240,1,2015,1,0.8153846153846154
15796,Depression Quest,0.0,['The Quinnspiracy'],['Free to Play',200000 - 500000,12,2,2014,3,0.5866393652418735
15797,FINAL FANTASY XV WINDOWS EDITION,34.99,['Square Enix'],['RPG'],1000000 - 2000000,1015,821,2018,1,0.8238520347594852
15798,Wildlife Park 2,6.99,['b-alive gmbh'],['Casual',100000 - 200000,52,5,2014,1,0.7053941908713693
15799,Eaten Alive,1.99,['Back To Basics Gaming'],['Indie'],200000 - 500000,233,2,2015,1,0.35450819672131145
15815,TOKYO WARFARE,4.99,['Pablo Vidaurre Sanz'],['Action'],20000 - 50000,260,0,2016,1,0.8301886792452831
15817,The Dark Stone from Mebara,7.99,['KISS ltd'],['Adventure',100000 - 200000,223,0,2015,1,0.582089552238806
15819,ICARUS,34.99,['RocketWerkz'],['Action',500000 - 1000000,2011,2347,2021,1,0.6513734899884164
15830,iBomber Defense,4.99,['Cobra Mobile'],['Indie',50000 - 100000,45,1,2011,2,0.7324561403508771
15831,千面 Melancholy Love,4.99,['PeriScope Game'],['Adventure',20000 - 50000,345,4,2020,2,0.9828571428571429
15833,Enigmoon,19.99,['Tupã Games'],['Indie',200000 - 500000,333,1,2015,1,0.7493368700265252
15835,Paper Dolls 2 纸人贰,19.99,"['Beijing Litchi Culture Media Co., Ltd.']",['Action',200000 - 500000,401,39,2020,1,0.850956696878147
15838,The Legend of Candlewind: Nights & Candles,9.99,['2tainment GmbH'],['Indie',20000 - 50000,13,0,2015,1,0.12
15846,Shantae: Risky's Revenge - Director's Cut,9.99,['WayForward'],['Action',100000 - 200000,550,8,2014,1,0.8608562691131498
15850,ARCADE GAME SERIES: GALAGA,3.99,['BANDAI NAMCO Entertainment'],['Action'],50000 - 100000,7,12,2016,1,0.8918032786885246
15852,Ultimate Solid,1.79,['Night Steed Games'],['Action',0 - 20000,272,0,2016,2,0.7575757575757576
15853,SuperCluster: Void,4.99,['None'],['Adventure',0 - 20000,30,0,2017,1,0.8181818181818182
15855,Untamed: Life Of A Cougar,14.99,['Strategy First'],['Action',0 - 20000,70,1,2015,1,0.608
15857,Atom Universe,0.0,['Atom Republic'],['Casual',100000 - 200000,9,0,2017,1,0.3874709976798144
15863,The Settlers® 7 : History Edition,14.99,['Ubisoft'],['Strategy'],50000 - 100000,375,48,2019,1,0.6095406360424028
15875,Heroes of the Three Kingdoms 3,1.99,"['USERJOY Technology Co.,Ltd.']",['Action',100000 - 200000,2414,102,2020,1,0.8755274261603375
15876,Outbreak,9.99,['Dead Drop Studios LLC'],['Action',100000 - 200000,336,0,2017,2,0.6206896551724138
15880,The Walking Dead: The Final Season,19.99,['Skybound Games'],['Adventure'],500000 - 1000000,739,45,2018,1,0.9451421971993648
15885,Solar Struggle,5.99,['Z-Software GmbH'],['Action',50000 - 100000,211,0,2014,1,0.2
15887,FoxyLand,2.99,['OraMonkey'],['Adventure',20000 - 50000,23,0,2017,3,0.660377358490566
15894,VTOL VR,29.99,"['Boundless Dynamics, LLC']",['Action',200000 - 500000,790,440,2017,1,0.9763090590927447
15898,Plebby Quest: The Crusades,19.99,['NEOWIZ'],['Action',200000 - 500000,814,70,2020,1,0.8729068269643624
15902,The Last Stand: Aftermath,24.99,['Armor Games Studios'],['Action',100000 - 200000,613,223,2021,1,0.8187361419068736
15912,SKYBOX VR Video Player,0.0,['Source Technology'],['Video Production'],50000 - 100000,8,28,2017,1,0.7513416815742398
15916,BATTLECREW™ Space Pirates,0.0,['DONTNOD ELEVEN'],['Action',100000 - 200000,25,0,2017,1,0.544973544973545
15917,Let's Explore the Jungle (Junior Field Trips),6.99,"['Humongous Entertainment', 'Nightdive Studios']",['Casual'],0 - 20000,2,2,2015,3,0.9259259259259259
15923,Motor Town: Behind The Wheel,14.99,['P3 Games'],['Casual',50000 - 100000,1615,74,2021,1,0.9500308451573103
15925,Small Radios Big Televisions,11.99,['Adult Swim Games'],['Adventure',20000 - 50000,2,0,2016,1,0.7147058823529412
15926,Strategic War in Europe,1.49,['Wastelands Interactive'],['Indie',20000 - 50000,341,1,2014,1,0.4267515923566879
15927,Alter Ego,9.99,['Viva Media'],['Adventure'],50000 - 100000,7,1,2010,1,0.6935483870967742
15940,Cook-Out,19.99,['Resolution Games'],['Casual',0 - 20000,182,19,2021,1,0.8986486486486487
15946,Five Dates,4.93,['Wales Interactive'],['Adventure'],100000 - 200000,93,16,2020,2,0.9007042253521127
15952,Orblitz,0.99,['Bryson MacDuff'],['Casual'],0 - 20000,1,0,2017,1,0.7272727272727273
15957,Tales From Off-Peak City Vol. 1,9.99,['Cosmo D Studios LLC'],['Adventure',20000 - 50000,67,0,2020,3,0.9922077922077922
15958,Sid Meier's Covert Action (Classic),2.09,"['Retroism', 'Nightdive Studios']",['Adventure',20000 - 50000,37,0,2014,3,0.9051724137931034
15969,Death Rally,9.99,['Remedy Entertainment'],['Action',50000 - 100000,1943,2,2012,1,0.7099125364431487
15970,Tachyon: The Fringe,9.99,"['NovaLogic', 'THQ Nordic']",['Simulation'],20000 - 50000,23,2,2009,1,0.8961748633879781
15974,The Archotek Project,0.0,['The Archotek Project Team'],['Casual',200000 - 500000,31,0,2017,3,0.564993564993565
15992,Tsukikage no Simulacre:Kaihou no Hane,6.23,['HIKARI FIELD'],['Adventure',20000 - 50000,1460,15,2019,1,0.9808292465448061
16002,Earthworm Jim 2,19.99,['Interplay Inc.'],['Action',20000 - 50000,26,0,2009,3,0.6881720430107527
16004,Abbot's Book Demo,0.0,"['Blackthorn Media, LLC']",['Adventure',50000 - 100000,1,0,2016,1,0.8917525773195877
16006,Welcome to the Game II,9.99,['Reflect Studios'],['Indie',100000 - 200000,419,10,2018,2,0.8619560131024802
16009,Leave Me Alone: A Trip To Hell,1.99,['Lisa Voronova'],['Action',20000 - 50000,291,1,2016,3,0.801980198019802
16010,Deep Sleep Trilogy,4.99,['Armor Games Studios'],['Adventure',20000 - 50000,91,0,2019,1,0.991304347826087
16011,Unium,1.99,['Kittehface Software'],['Casual',20000 - 50000,138,0,2015,3,0.9427609427609428
16012,Silence,1.99,['Daedalic Entertainment'],['Adventure',100000 - 200000,168,8,2016,3,0.8435507601765572
16017,Cogmind,19.99,['Grid Sage Games'],['Adventure',50000 - 100000,1385,15,2017,1,0.9626093874303898
16027,First Strike: Classic,11.99,['Blindflug Studios AG'],['Action',100000 - 200000,107,6,2017,2,0.8613138686131386
16030,Sanctum 2,14.99,['Coffee Stain Publishing'],['Action',2000000 - 5000000,172,63,2013,3,0.9003538161600115
16032,Gamer Girls (18+),1.99,['Pirates Of The Digital Sea'],['Adventure',0 - 20000,169,1,2021,1,
16034,See No Evil,0.99,['Noetic'],['Adventure',100000 - 200000,278,0,2014,1,0.6752136752136753
16043,ZONE OF THE ENDERS THE 2nd RUNNER : M∀RS / アヌビス ゾーン・オブ・エンダーズ : マーズ,29.99,['Konami Digital Entertainment'],['Action'],20000 - 50000,51,12,2018,1,0.7076271186440678
16045,Evolution Board Game,14.99,['North Star Games'],['Simulation',20000 - 50000,68,7,2019,2,0.8567251461988304
16054,SpellForce 2 - Demons of the Past,19.99,['THQ Nordic'],['RPG',200000 - 500000,496,7,2014,1,0.4927007299270073
16055,Crown Trick,5.99,"['Team17', 'NEXT Studios']",['Adventure',200000 - 500000,798,39,2020,1,0.865695067264574
16056,Vampire: The Masquerade - Redemption,5.99,['Activision'],['Violent',100000 - 200000,6137,14,2017,1,0.8709150326797386
16063,Vessel,8.99,['IndiePub'],['Action',200000 - 500000,54,2,2012,1,0.8851540616246498
16068,Space Empires IV Deluxe,9.99,['Strategy First'],['Strategy'],50000 - 100000,18,11,2006,1,0.8394495412844036
16073,MDK2 HD,14.99,['Interplay Inc.'],['Action'],0 - 20000,66,0,2012,1,0.5877862595419847
16077,Clockwise,1.99,['pheenix93'],['Adventure',0 - 20000,209,0,2017,1,0.6666666666666666
16083,Head Shot,1.99,['Indie Game Group'],['Action',500000 - 1000000,246,1,2016,1,0.4988532110091743
16085,Five Nights at Freddy's 2,7.99,['Scott Cawthon'],['Indie'],500000 - 1000000,86,31,2014,1,0.9358024691358025
16086,BLADESTORM: Nightmare,59.99,"['KOEI TECMO GAMES CO., LTD.']",['Action'],0 - 20000,710,3,2015,1,0.6337662337662338
16089,DYO,0.0,['Team DYO'],['Indie'],50000 - 100000,242,29,2018,1,0.9675425038639877
16112,Incline,0.0,['Homewreckers Studio'],['Action',100000 - 200000,7,0,2017,1,0.5044642857142857
16115,Cube World,19.99,['Picroma'],['Adventure',500000 - 1000000,616,42,2019,1,0.37493683678625567
16118,The Mooseman,6.99,['Morteshka'],['Adventure',20000 - 50000,190,2,2017,3,0.89375
16119,Peaky Blinders: Mastermind,4.99,['Curve Games'],['Adventure',20000 - 50000,13,5,2020,1,0.7762237762237763
16120,Airtone,29.99,['AMG GAMES'],['Action',0 - 20000,21,0,2017,1,0.9458128078817734
16125,The Howler,0.0,['Antanas Marcelionis'],['Casual',200000 - 500000,169,0,2014,1,0.7761767531219981
16127,Journey To The Savage Planet,29.99,['505 Games'],['Action',200000 - 500000,536,34,2021,1,0.8829941860465116
16130,Project Wingman,24.99,"['Sector D2', 'Humble Games']",['Action',500000 - 1000000,584,270,2020,1,0.943188035746854
16132,The Barbarian and the Subterranean Caves,4.99,['NLB project'],['Adventure',0 - 20000,310,0,2017,3,0.75
16138,Ancient Go,4.99,['Hart Laboratories LLC'],['Casual',0 - 20000,100,0,2017,1,0.6504854368932039
16148,Conan the mighty pig,0.51,['Mihai Morosanu'],['Action',50000 - 100000,363,7,2016,3,0.906060606060606
16160,Gal*Gun VR,29.99,"['INTI CREATES CO., LTD.']",['Action',20000 - 50000,41,1,2017,1,0.8504464285714286
16161,Biomass,14.99,['Final Scene dev'],['Action',0 - 20000,55,2,2020,1,0.896551724137931
16162,The Big Journey,4.99,['Hook Games'],['Adventure',20000 - 50000,280,1,2018,2,0.8846153846153846
16171,Never Alone (Kisima Ingitchuna),14.99,['E-Line Media'],['Action',500000 - 1000000,192,13,2014,3,0.8094630786889427
16174,ROCKETRON,5.99,['Henteko Doujin'],['Action',0 - 20000,163,0,2020,1,0.875
16176,Cyber Hook,14.99,['Graffiti Games'],['Action',100000 - 200000,128,40,2020,1,0.9494310998735778
16187,Robot Roller-Derby Disco Dodgeball,9.99,['82 Apps'],['Action',200000 - 500000,182,9,2015,3,0.9249476987447699
16195,Caesar™ IV,9.99,['Activision'],['Simulation',100000 - 200000,4322,52,2016,1,0.6912028725314183
16213,SpaceEngine,24.99,['Vladimir Romanyuk'],['Casual',200000 - 500000,455,91,2019,1,0.960879811468971
16221,Galactic Shipwright,5.99,['NanoidGames'],['Action',0 - 20000,54,0,2018,1,0.875
16222,Flinthook,14.99,['Tribute Games Inc.'],['Action',100000 - 200000,479,2,2017,3,0.7490396927016645
16228,4D Toys,14.99,"['mtb design works, inc.']",['Indie',0 - 20000,95,1,2017,1,0.863905325443787
16237,Galaxy Combat Wargames,0.0,['Fork Particle Games'],['Action',20000 - 50000,66,0,2016,1,0.5238095238095238
16246,Strange Horticulture,14.99,['Iceberg Interactive'],['Adventure',100000 - 200000,666,81,2022,1,0.9586924219910847
16251,TableTop Soccer,0.99,['Dancing Developers'],['Casual',0 - 20000,107,0,2016,3,0.7981651376146789
16256,Return to Shironagasu Island,4.99,['TABINOMICHI'],['Adventure'],50000 - 100000,261,37,2020,1,0.9671626475115443
16258,The Last Birdling,5.99,['InvertMouse'],['Indie'],0 - 20000,378,0,2017,3,0.9821428571428571
16259,TOGETHER BnB,17.99,['AURORA Games'],['Adventure',100000 - 200000,379,117,2021,1,0.6802145657107489
16260,Pilam Sky,3.99,['BeagleGames'],['Action',20000 - 50000,327,91,2018,1,0.8478260869565217
16261,Gladiator Trainer,1.99,['Senpai Studios'],['Action',100000 - 200000,292,0,2016,1,0.7117903930131004
16262,Wobbledogs,19.99,['Secret Mode'],['Casual',50000 - 100000,91,291,2022,2,0.9796178343949045
16263,CUPID - A free to play Visual Novel,0.0,['Afterthought Studios'],['Free to Play',100000 - 200000,256,3,2016,3,0.8704453441295547
16264,Ace Of Words,4.99,['Ocean Media LLC'],['Casual',100000 - 200000,448,0,2016,1,0.6577017114914425
16267,Blightbound,19.99,['Devolver Digital'],['Action',50000 - 100000,1245,2,2021,1,0.6722268557130943
16271,Murderous Pursuits,9.99,['Blazing Griffin'],['Action',1000000 - 2000000,305,5,2018,1,0.6338181818181818
16277,Mad Nords: Probably an Epic Quest,1.19,"[""Dragon's Games""]",['Adventure',0 - 20000,363,0,2016,3,0.9380530973451328
16284,Remember Me,29.99,['Capcom'],['Action',500000 - 1000000,208,26,2013,1,0.8318162423552837
16294,Bear With Me: The Lost Robots,1.24,['Modus Games'],['Adventure',20000 - 50000,324,0,2019,1,0.865979381443299
16295,Mystic Destinies: Serendipity of Aeons,0.0,['Aeon Dream Studios'],['Adventure',100000 - 200000,9,3,2016,3,0.821522309711286
16307,Strategic Mind: The Pacific,29.99,['Starni Games'],['Indie',20000 - 50000,61,16,2019,1,0.7759856630824373
16308,Catherine Classic,19.99,['SEGA'],['Adventure'],200000 - 500000,382,48,2019,1,0.8799665411961523
16309,Dusk Diver 酉閃町,34.99,['WANIN International'],['Action',20000 - 50000,483,3,2019,1,0.8658346333853354
16311,Rail World,0.0,['upjers'],['Casual',50000 - 100000,9,0,2018,1,0.34
16313,Starsphere,3.99,['Julia Games'],['Casual',0 - 20000,254,0,2015,1,0.8108108108108109
16316,Training aim,0.99,['Anime squad'],['Casual',0 - 20000,6,1,2018,1,0.7619047619047619
16319,Soul Saber 2,9.99,['Henteko Doujin'],['Action',20000 - 50000,311,0,2017,1,0.5932203389830508
16321,Agarest: Generations of War,14.99,['Ghostlight LTD'],['Adventure',100000 - 200000,1435,19,2014,1,0.7162610619469026
16330,Farming Simulator 15,12.99,['Giants Software'],['Simulation'],500000 - 1000000,1894,220,2014,2,0.9152604280809409
16355,Keep in Mind: Remastered,1.99,['Akupara Games'],['Adventure',0 - 20000,100,0,2018,2,0.7653958944281525
16359,Wheel Riders Online OBT,0.0,['Raum Studio'],['Action',50000 - 100000,18,1,2017,1,0.25680933852140075
16361,Grotesque Tactics: Evil Heroes,0.99,['Headup'],['Indie',100000 - 200000,101,1,2010,1,0.6155717761557178
16362,Assetto Corsa,19.99,['Kunos Simulazioni'],['Indie',2000000 - 5000000,297,8363,2014,1,0.9186072579515202
16363,Hedon Bloodrite,16.99,['Zan_HedonDev'],['Action',100000 - 200000,204,16,2019,2,0.928937728937729
16374,Hatsune Miku: Project DIVA Mega Mix+,39.39,['SEGA'],['Action'],100000 - 200000,409,537,2022,1,0.897029702970297
16375,LSD: Wanderlust (Lo-fi Edition),4.99,['Eternity Studios'],['Action',20000 - 50000,4,0,2017,3,0.4318181818181818
16378,Defend Your Crypt,2.99,['Ratalaika Games S.L.'],['Indie',20000 - 50000,385,0,2016,2,0.851063829787234
16379,The Enchanted Cave 2,9.99,"['dustinaux', 'Lightning Games']",['Indie',20000 - 50000,301,11,2015,3,0.8959731543624161
16381,Romopolis,3.99,['Lonely Troops'],['Casual',20000 - 50000,256,1,2016,3,0.7407407407407407
16382,NEKO ARENA,1.99,['Neko Cloud'],['Action',20000 - 50000,6,0,2021,1,0.838006230529595
16389,Shan Gui (山桂),0.99,['Ju Cai'],['Adventure',50000 - 100000,241,1,2014,3,0.7202643171806168
16390,Pizza Express,6.99,['Plug In Digital'],['Casual',20000 - 50000,289,1,2015,1,0.8356164383561644
16392,Trapped With the Dolls VR,0.0,['Designated Play Space'],['Adventure',20000 - 50000,159,0,2017,1,0.7884615384615384
16395,Leisure Suit Larry - Wet Dreams Don't Dry,29.99,['Assemble Entertainment'],['Adventure'],20000 - 50000,554,27,2018,2,0.8596345514950167
16397,Iron Tides,2.99,['Crash Wave Games Inc.'],['Adventure',0 - 20000,43,0,2017,2,0.7638888888888888
